data,dist_cent,az_centr,dist_n,az_n,diff_n,dist_s,az_s,diff_s,dist_e,az_e,diff_e,dist_w,az_w,diff_w
2024-06-28T18:00:00.000,"166677.09526969","284.3110968849505","156957.52326954","281.32713736207705","35405.13852652628","182767.49234817","277.2752960339696","-23714.516991131008","189338.3113092","274.6494933435042","-191150.03722585272","153233.99651302","283.3289550142394","156278.09353995323"
2024-06-29T00:00:00.000,"189481.20348007","298.68657009343644","139489.92906508","340.22210494252545","143453.242813712","225164.6540678","283.7812641110322","-55049.03106682119","218414.32030826","287.2817185058131","-211335.60049139895","198077.71741156","318.6934278450227","134232.38158325478"
2024-06-29T06:00:00.000,"15282.14708701","284.14379065057824","72015.37138685","270.85215616393293","1256.8837524936534","137771.98472736","270.2607116674949","-644.5508132202085","141948.60416519","268.611379983472","-144012.91204435006","29711.90302408","186.29542942727159","3278.3590038605034"
2024-06-29T09:00:00.000,"230947.41562525","270.42379365822154","182245.24375012","259.96363725307435","-37103.195653009694","114450.96433167","280.5632726104623","-21578.970252973726","110935.65644679","280.73969367526087","-110603.70646747388","261146.20569657","254.8970032442911","265420.17509330995"
2024-06-29T12:00:00.000,"7803.62142637","283.82981034904304","1810.8771005","99.18314708093702","-337.0006161830388","55375.4983779","272.4336798286703","-2420.5098277304787","65343.4881709","265.67621244460446","-66151.60740390047","53549.21217054","0.6525810720741296","-613.3703942708671"
2024-06-29T15:00:00.000,"175499.17984268","278.9858020306987","225540.07086106","270.7057236672756","3246.3196510924026","110057.18866479","274.5065563953037","-8904.029147996102","100369.23989495","279.2158692443907","-100582.7259062631","200335.5216731","269.0803590773417","211790.8972087428"
2024-06-29T18:00:00.000,"12573.01948805","283.81467594135523","28401.82959564","95.18840522341743","-2999.58772091195","102338.85892565","276.1090049415427","-11219.480937745655","110391.33590291","273.3653250008685","-111937.31396717671","19248.58930656","5.822664581368902","-1964.7890125010163"
2024-06-29T21:00:00.000,"174081.6008178","266.9795728445481","186241.83114772","263.98411648971813","-22756.31909586815","100853.99479024","282.48954329359","-22482.009861227358","100350.14924849","283.12664864072747","-99262.47674545273","193812.18161977","251.13077171703648","192711.84968168288"
2024-06-30T00:00:00.000,"13209.26475536","283.4603757248047","24717.63267473","273.9518507006915","1984.5429070293903","112249.54204386","275.61552725795127","-11336.148384974105","109827.63997823","275.01858478869156","-111223.75603119377","6883.91224508","2.6908201703173","-325.05291311629117"
2024-06-30T03:00:00.000,"217738.42881795","287.8705908869835","225275.39660308","285.9899195065808","72210.16564683476","107404.65170532","281.8912469949768","-22855.127479563933","101945.40317645","285.28642904903813","-99958.22356291115","233049.86720739","286.4947953924838","235199.1597327534"
2024-06-30T06:00:00.000,"10032.08854234","283.2784880096687","42199.56717736","266.4044364014429","-3109.7343583861366","90967.96600852","263.8948089635512","9997.956487615127","89020.14652905","261.10731400036934","-89459.68238619901","20742.64220836","7.518734373647362","-2731.7803040686995"
2024-06-30T09:00:00.000,"146747.16214139","272.3459512179262","124384.50026451","274.77892898011436","12180.330202794634","97025.70700218","275.65177644537926","-9874.577537616016","109675.65227391","275.03771121471465","-111140.26641309727","135502.67847818","251.22562366697443","135081.7492980063"
2024-06-30T12:00:00.000,"9880.32336288","284.89981887420777","51467.87705941","87.61914592982717","2516.4041276657954","87500.07754913","285.0365236186292","-23466.806439212756","80888.58284098","286.7700237402484","-78757.4265413303","24542.36069402","355.7772510290026","1817.8472846541554"
2024-06-30T15:00:00.000,"196022.27445725","300.2503771452888","200017.42324462","305.23242618033834","133160.53939352883","96840.27287576","282.54980721308414","-21784.889358108165","102598.86967951","283.7280023407919","-101453.24432426784","230729.91599813","312.0287663520915","177628.05867919698"
2024-06-30T18:00:00.000,"10713.07801339","285.2258834308052","63155.58558239","267.4509101801699","-3360.7268917346373","94555.0454838","277.3411653355017","-12525.233595573576","86967.38223607","278.150765840868","-87718.6455501914","29803.90699455","186.21218162896116","3244.963156621903"
2024-06-30T21:00:00.000,"169954.95268118","282.104369189702","110303.83260248","293.5710277443857","52172.057060474996","87185.98561626","291.31008513948933","-32843.63831718848","93089.57850639","290.3405709967977","-88877.48144935071","174407.19301288","284.85769212705617","179314.54896471277"
2024-07-01T00:00:00.000,"12124.32057119","285.1584963044008","44308.67196853","269.0473889655281","-887.1821576496586","119272.86213829","271.41223501007124","-3055.4068297869526","109226.49624979","267.25131273476586","-111318.37759836577","10702.99348705","177.81858419769384","-409.65572611801326"
2024-07-01T03:00:00.000,"140083.75254608","242.92029326494026","138806.62909048","194.31666956219001","-148386.99795031454","75297.02074517","285.9708639386793","-21528.781284182332","91463.48634258","287.27498116556484","-89034.44193136599","164219.30782822","220.03770481965188","108695.69039527513"
2024-07-01T06:00:00.000,"9430.04029598","284.72249936742827","26096.38565142","275.3720669302215","2886.28597129276","72461.08372999","295.95904547656454","-32958.729535157094","72681.46486571","295.3735434950887","-66906.35355147999","3293.82404701","178.9216185630743","-62.33891484327614"
2024-07-01T09:00:00.000,"121089.08645902","304.9130259940792","121035.2054394","334.60130519949297","121695.29753107764","106473.29921976","294.3982330351245","-45820.1639923444","94896.24146377","293.1505830282234","-89023.30998229235","102087.80695955","326.7305903087245","57234.916191361845"
2024-07-01T12:00:00.000,"155193.29155965","292.75263154153686","154882.11950505","289.19451291012757","60748.55494986288","222963.90522216","293.05021534266734","-91355.13366438751","226104.04008036","294.38311959332765","-210455.06331921928","140060.32277095","309.0326607061932","113412.29722018726"
2024-07-01T18:00:00.000,"178550.14649336","305.4702782892142","186906.45835329","331.3296171967384","186254.02241780702","194224.90823965","289.320851545167","-67651.96192857763","198039.19867651","290.2432368085491","-190566.7230940992","204096.87423002","326.5711967882106","115333.67163127847"
2024-07-02T00:00:00.000,"13737.11644479","285.2900672495461","33979.51259488","265.2484082777648","-3488.7353427065536","107329.52522677","294.10990595148996","-46275.92708429787","105599.50689907","293.564558230685","-99363.77748207562","9600.72662926","6.9293006823278125","-1165.5150686055422"
2024-07-02T03:00:00.000,"114242.96167555","302.5280672848752","74966.93485753","314.9350530370192","62421.395943115","124491.35559527","290.94263330711","-47163.57394818636","125400.57274562","288.1900111075611","-122665.17329492606","59705.58045051","291.96114484494063","59414.551821094006"
2024-07-02T06:00:00.000,"15394.04169117","285.029682166651","43546.57530681","86.6146099797262","3216.1837212876417","113366.18006913","291.84496342788987","-44846.603049979545","117470.43023345","293.6808081878659","-110748.42180550192","27834.7645301","176.6182830167659","-1650.8680484648794"
2024-07-02T09:00:00.000,"152482.86890274","304.0582464249356","164990.42227981","308.13669208359204","122905.62540264754","115211.72840284","287.0589120199377","-36092.968678073026","111516.72707404","284.8057949212645","-111458.64015676454","179230.53253051","325.39413112113255","104868.52630180493"
2024-07-02T12:00:00.000,"13957.17396913","285.97448443943244","6509.9037309","265.2746175710047","-682.4069637279026","120173.95727892","285.2020802442493","-33761.074786808575","113989.6641904","289.12846733360544","-111339.5283016162","39781.81754039","178.40310187983366","-1114.3081028424203"
2024-07-02T15:00:00.000,"147356.09062899","289.12027056757563","116179.80438324","295.95684944254486","63458.55580475554","94803.39829202","288.98927140402446","-33098.66851393855","100748.52816313","287.5440961531558","-99500.70045575313","164095.23618662","314.3332304009391","123134.94154607132"
2024-07-02T18:00:00.000,"12299.55857129","285.8938150154684","4340.93214082","264.1343826970082","-569.4062380786054","97553.00619224","283.6703962992716","-24834.98430876108","98365.83377796","280.0874799451754","-100618.3481433168","46171.16964372","183.03163928995366","2454.594771992415"
2024-07-02T21:00:00.000,"78670.00137631","303.18991342041755","55114.59876462","351.6483292983447","62408.03644152451","106609.53296762","274.9444554570892","-9928.407204612391","108641.79778466","272.7380656587006","-112914.69909634069","68241.42798485","358.26164766411375","2080.5612829253078"
2024-07-03T00:00:00.000,"10704.73324174","287.711426113973","30072.48071977","84.91395332678367","3455.579270062037","89198.62948653","277.1268082365903","-11965.329676773632","86130.67597578","282.47649473685306","-87414.74334032461","31378.19093155","4.928325285415462","-2710.629600815475"
2024-07-03T03:00:00.000,"80984.9129593","275.1579772042482","71196.05589623","267.9710210321172","-3270.391105305869","102068.64280061","289.353262964444","-36526.21266400581","99656.78704165","285.7609435626492","-99697.73595445603","90704.98219743","215.74625942210108","54864.924232373014"
2024-07-03T06:00:00.000,"13110.51892666","287.7022166292151","1201.77887433","296.24376979952604","671.0115838623606","97853.40262756","288.2972512815119","-33284.15759378555","104292.0982313","292.14988067630145","-100295.52162001561","9440.13353776","353.1814955311984","1127.6664417367429"
2024-07-03T09:00:00.000,"76941.38965803","310.05644944081126","56830.82050514","8.689812832989142","64619.39615005767","95926.26018254","282.66882011628746","-22891.993359016953","87398.00664268","283.7013082767162","-88576.91882420797","89529.8472798","357.3424987809636","4172.25451493077"
2024-07-03T12:00:00.000,"11568.61304875","288.4230555384435","8066.61258","87.89143856581626","388.7927927323617","82921.82830176","285.0226894344277","-23417.618195668794","87460.22059529","281.3303276424498","-89602.17133441567","9988.49466006","3.025476119981707","-529.8807761743665"
2024-07-03T15:00:00.000,"90845.43714922","298.4896409634521","55312.1685055","354.91846238301235","63574.987205658574","85399.34491205","284.80447941459056","-23826.30635786755","77312.50162519","283.4597476209251","-78577.0889662467","49931.16813923","276.2470913283186","54975.1305282563"
2024-07-03T18:00:00.000,"10303.69045297","289.9607522743399","10135.57932364","274.22688616713737","987.6918285014108","92193.10711648","290.1102358373211","-34624.51512338198","80411.74746363","291.93140279509015","-77756.66431910358","35018.78552886","354.8054071075165","3188.1902163196355"
2024-07-03T21:00:00.000,"99986.57565082","325.0952395095169","75663.6385452","8.188720273414248","87060.63715253491","78241.6444917","285.74428600919435","-23294.44857629016","99612.95182992","284.19103523850936","-101149.34211439826","95764.00001282","345.433512669579","24345.572636488825"
2024-07-04T00:00:00.000,"12131.53246229","291.96624594966596","57542.92824155","272.3763767753569","3200.588960113935","200210.21821834","278.50392543367815","-32644.426342006074","100012.32521565","289.0430861565267","-98945.21619669348","15128.45887119","181.50235808759422","398.52377704158425"
2024-07-04T03:00:00.000,"93970.80575306","299.0982894307263","31138.44789073","350.8064409563997","35939.581475466955","28510.27980336","25.109027020683133","-27535.64163902751","98840.69328156","284.4277096831098","-100535.97172012925","59072.59973836","276.9423596808998","65522.652280919254"
2024-07-04T06:00:00.000,"11201.57031483","292.9432462453133","50078.70583439","272.60176524272197","3068.211370649282","90567.38154425","282.2658271679582","-21302.460640387144","86361.93404405","284.6769917496612","-87838.87060024776","31311.22969342","355.20455648961416","2631.5927623547614"
2024-07-04T09:00:00.000,"111981.94739678","329.8253284841658","111803.96430348","13.958429249251031","128288.75449094828","109507.4705386","287.9157783160106","-37310.14446753054","91515.17890669","291.6632352640877","-89222.57187080942","97190.05539589","344.72565402970054","25906.27189740911"
2024-07-04T12:00:00.000,"9845.120862","296.11648099880466","33693.49433147","272.8504807918405","2309.7191748321056","77606.9672193","284.41960677746795","-21500.34161516605","86838.85716749","282.8034639274588","-89356.1552597601","41200.20653129","2.014444013681771","-1454.9457446690649"
2024-07-04T15:00:00.000,"107082.24445651","331.479172504872","112355.66179042","342.3791112050755","128627.4633934903","94107.57076079","290.12478198811937","-36017.228452706244","101416.47201194","289.10425497821086","-100946.74064115621","114193.19439944","358.04018472604736","3922.89885555394"
2024-07-04T18:00:00.000,"6341.24148215","298.72324502283203","14710.23337485","86.23774175139167","1359.221009887755","50894.86698262","269.31345891362344","683.8360912860371","52590.23816325","271.47413529860125","-55758.81974344328","30650.86083111","184.72564532336483","2538.084390088916"
2024-07-04T21:00:00.000,"13994.82837931","34.94607253142199","28878.40539376","110.49109720468384","-13899.524421793874","75201.74952619","278.28192259968716","-12140.509355713613","73600.70966109","271.801776813089","-78029.39707154594","54969.7475898","128.1716116987646","-46790.92156513594"
2024-07-05T00:00:00.000,"8484.70485766","301.2910512435676","2713.63177306","262.0725742164536","-524.3156350115314","145085.52512952","276.54691269837986","-18577.038116984535","76283.87688308","287.38070708970383","-76889.48548582196","48526.82003078","359.58385323886677","353.99598072096705"
2024-07-05T03:00:00.000,"130287.11655324","21.30543559876943","161455.37095523","45.44540281892531","147062.39943012968","38922.96668443","359.4052103790789","-41564.375879323576","79606.11354493","292.992831557129","-77223.44395820238","135156.85325623","52.26640707806773","-116273.20813357458"
2024-07-05T06:00:00.000,"8479.67411874","309.3438207243462","10714.17038525","87.34921852157221","714.1948947189376","80459.71762572","292.19622218453816","-34116.63533680141","83591.56607131","297.42379413791576","-78044.98180025443","39672.89311145","3.6220507289155455","-2518.0468817427754"
2024-07-05T09:00:00.000,"115354.85224226","21.373380489401438","176860.03368292","56.471116642040336","133703.794669359","81968.74700113","293.6600295545526","-37010.4444254851","78353.11850322","288.1372524810283","-79001.2162261717","104773.51897355","63.80542182166524","-105702.30928784423"
2024-07-05T12:00:00.000,"165484.1260767","31.869047709435367","183334.54871037","30.28455464116745","203614.53905779961","110519.60006418","297.7269399538099","-57925.01610761369","109577.6590926","300.3825975525189","-99485.11572703905","137411.18543495","66.2503258250981","-142748.32262893952"
2024-07-05T18:00:00.000,"4938.17142455","325.4589268690416","1366.49655598","288.6431180825848","652.0899494811893","56729.18292695","281.53419954476396","-12972.12096004188","52048.07989569","281.1674830831603","-54617.794962812215","27278.74269744","181.84445722115825","881.650367083028"
2024-07-05T21:00:00.000,"224354.92936695","54.92817322068675","297614.29934087","64.05264281962238","193243.53916881606","63953.49876389","311.046175466331","-46944.79432545323","1444496.17833995","5.774870251780665","146161.37821665965","199236.53649643","136.8441262573313","-145589.19603398256"
2024-07-06T00:00:00.000,"5301.92172669","340.46865696634137","21188.82459534","85.25902387890086","2777.3741746973246","68118.16650375","287.84826631571076","-23958.594707461074","7804.1485089","172.79940888903346","984.0642986111343","33993.82793328","179.11816492653153","-525.42799654603"
2024-07-06T03:00:00.000,"188616.79758703","45.81251776970197","266489.83144602","55.10798522752821","226001.70308036637","61898.00752174","300.8971674135963","-36153.92303347681","256752.4206582","66.45154049115115","276011.1114473827","10511.27487369","133.07273462063705","-8240.981903424487"
2024-07-06T06:00:00.000,"6524.86268168","353.80795412464005","18574.95840114","85.76311198187267","2275.5901743127033","89414.25592401","308.17990730788364","-62635.06816259213","4473.20791156","5.130184474328334","401.8633617646992","63740.23360312","359.5864955015007","461.9758867919445"
2024-07-06T09:00:00.000,"88745.17618027","10.06794100735844","109440.93347154","351.43919041670614","141580.33701941837","42056.57938729","317.0314847952316","-34636.521669175476","114591.42397515","8.830227078239576","17718.72334956564","8685.50416232","101.23453010548806","-9762.71934256889"
2024-07-06T12:00:00.000,"4727.98015089","359.8516048826056","6462.84592334","268.0271495288292","-380.10066958796233","106957.65977721","296.35459403351985","-55089.67838283256","30365.51038923","359.7131466083387","-152.50770238786936","40400.66248482","176.89008037931808","-2201.8995278924704"
2024-07-06T15:00:00.000,"196700.38556927","46.677402252754156","293836.13997445","62.27893166021106","221898.31402029283","52752.4838575","23.664082439147236","-53570.34201595094","256064.24816713","53.05669223665816","234290.79268787988","112837.93671848","19.356742750656714","-38069.03946148418"
2024-07-06T18:00:00.000,"7156.73709835","11.49524753999738","13506.54859881","274.192323042556","1762.6548666739836","89772.01886893","305.7958616193229","-60900.763212785125","28666.4054503","181.6993569493979","-852.7072994764894","79791.93949937","180.2419880158631","338.4112520124763"
2024-07-06T21:00:00.000,"350794.119655","42.478561308539796","442228.52266664","43.02558723881864","503466.72174355853","46541.81642392","311.04295446647757","-35341.43784679938","488320.10016156","50.82912485835567","435697.8077954259","50860.27190631","32.92550614556485","-28812.823802022263"
2024-07-07T00:00:00.000,"223911.26147932","27.201574955620252","263329.89975261","28.301063794252162","355986.1146585997","87431.22380044","320.3717707540992","-77169.14276127517","317401.62549571","19.416303979493517","108488.63614239916","70795.20135351","88.99550175578112","-81837.63685158454"
2024-07-07T06:00:00.000,"3067.35563528","24.81213890393953","23941.22477155","91.39589760594187","-1259.1917548924685","49643.9724441","293.7150625879081","-23957.770454854704","5591.08340397","352.1199699654536","-771.4440711978823","3915.44910249","8.150698351818216","-558.8238437827677"
2024-07-07T09:00:00.000,"331946.00510683","56.94832366980164","402034.34307926","57.43127146186672","420081.12111684866","45796.16518175","336.0481887648092","-47264.49964836519","445015.4650198","65.64983171701586","529990.9824718693","91838.12067399","169.17234361470793","-17399.236410988495"
2024-07-07T12:00:00.000,"4340.14597307","33.03650839364648","15840.70303401","88.31477807360507","1109.4808971267194","47662.40924797","335.05639862862495","-49044.38931837119","30804.13029938","354.7794217720435","-2813.0435323463753","65374.68502673","357.77414469765336","2550.3295340761542"
2024-07-07T15:00:00.000,"292791.33612245","213.15937831692634","421540.51440683","200.4034542973372","-610296.8788362974","62837.72909376","334.8000389716384","-64834.237225887366","400814.36442149","223.20998792598505","-313686.0799114574","42704.9229353","128.06808434497677","-36605.18815755285"
2024-07-07T18:00:00.000,"4527.50420642","38.08491791158534","19690.30222496","86.21793204694443","2681.283335093409","33100.62407217","2.3631128296093142","-37202.263027682435","4202.15595023","17.332791854500908","1281.2873390316963","85822.56722481","1.4491113004456098","-2179.6356297321618"
2024-07-07T21:00:00.000,"383672.36579403","231.91505270950827","541887.88372566","225.75635835875232","-607603.8085560044","53309.37217964","350.9552376936727","-59557.773316960316","575576.16776356","241.6538496299714","-626207.7579492182","56302.62534234","140.7032860689399","-37729.51501456648"
2024-07-08T00:00:00.000,"10480.60613979","34.53275840614198","38919.12047955","269.1387764646418","-1060.5576143097132","73759.18083345","332.9400514251533","-76129.70436216798","14126.25646357","353.6032546354057","-1581.8499641735107","5678.87061038","155.44733501987324","-2421.1989247519523"
2024-07-08T03:00:00.000,"166289.85479629","45.39046287852143","215771.61134648","42.45260154368425","244911.51605978515","45538.26181276","358.7701510051897","-51867.130901731085","202350.0968592","45.149021330588496","162419.58984701708","53341.0712878","188.86874537996107","8282.170115020126"
2024-07-08T06:00:00.000,"11396.48430074","42.367115379874235","15522.46820924","88.10641744920441","979.312956193462","67639.87782916","17.4541548573795","-74596.55592770595","2076.32681996","47.71733862096884","1768.8667087070644","37686.03336519","8.110605421960912","-5352.241117341444"
2024-07-08T09:00:00.000,"333211.66730968","59.08699148279387","451637.62250149","67.98862806134782","314061.5446672002","67104.7864137","10.013497494499205","-76324.81210713182","472507.61384561","67.91577430590665","564705.9656757489","35822.77207857","108.87545151510992","-38429.71461165324"
2024-07-08T12:00:00.000,"13783.80849618","47.59035995354593","7720.07595452","264.1737759370258","-1595.6118336170912","81008.57296373","15.116744290184574","-91338.59060248034","7832.00284363","343.8584839996753","-2223.0502311419696","77467.67556573","16.1510924821723","-21847.563263088465"
2024-07-08T15:00:00.000,"138346.61491565","40.58174415092073","110494.77075501","14.655637628954413","157277.85205774847","96074.99270753","27.082014058229664","-102554.0339127169","112092.92638968","30.612937733551036","61193.437283970416","102587.80504874","25.340396949315462","-45161.20421992242"
2024-07-08T18:00:00.000,"18996.21379521","49.27608993844629","13998.64417264","84.72012818215863","2719.7174413492903","105572.01925524","19.112807271762023","-119165.82354263635","8560.83415954","173.86210971545916","919.4989939527586","97177.3368751","19.1367607906322","-32457.423930594698"
2024-07-08T21:00:00.000,"193040.46723871","45.28453426396303","200982.78545885","45.06718495796252","246074.72224572767","80381.80193341","40.243864702944165","-77454.20424303878","210242.74093197","47.8824150599887","184094.60789937526","81946.23620909","40.301143729315285","-56650.488864697516"
2024-07-09T00:00:00.000,,,,,,,,,,,,,,
